,title,type,eps_count,rate,content_descriptors,seasons_count,series_launch_year,Votes
194,cinderella nine,series,13,4.2,unknown,1,2019,630
195,citrus,series,12,4.2,"العري, المحتوى الجنسي, حوار ملمح",1,2018,18193
196,city hunter,series,1,4.5,"تعاطي المخدرات/الكحول, التدخين, الصور الجنسية, حوار ملمح, الانتحار, العنف",1,2020,1174
197,classic★stars,series,5,3.2,"الفجور, العنف",1,2025,701
198,classroom for heroes,series,12,4.1,"الصور الجنسية, العنف",1,2023,18661
199,classroom of the elite,series,38,4.8,"الفجور, التدخين, الصور الجنسية, حوار ملمح, العنف",3,2024,158515
200,clean freak! aoyama kun,series,12,4.4,حوار ملمح,1,2017,3371
201,cobra the animation,series,19,4.8,"المحتوى الجنسي, حوار ملمح, العنف",3,2023,132
202,code geass,series,50,4.9,"العري, الفجور, العنف",2,2022,55739
203,combatants will be dispatched!,series,12,4.6,"العنف الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2022,15653
204,comic girls,series,12,4.6,حوار ملمح,1,2018,1278
205,comical psychosomatic medicine,series,20,3.8,المحتوى الجنسي,1,2015,521
206,conception,series,12,2.5,"المحتوى الجنسي, الصور الجنسية, حوار ملمح, العنف",1,2018,6697
207,convenience store boy friends,series,12,4.0,الفجور,1,2017,2712
208,copihan,series,8,2.8,"المحتوى الجنسي, الصور الجنسية, حوار ملمح",1,2023,186
209,cosplay complex ova,series,3,4.2,"العري, المحتوى الجنسي, حوار ملمح",1,2010,1170
210,crossing time,series,12,3.9,الفجور,1,2018,831
211,crunchyroll presents: the anime effect,series,62,1.7,العنف,2,2025,4262
212,cue!,series,24,4.3,unknown,1,2022,1201
213,cute high earth defense club love!,series,37,3.8,"العري, الفجور, العنف",4,2015,1243
214,d4dj all mix,series,13,4.5,الصور الجنسية,2,2023,913
215,d4dj first mix,series,13,4.7,unknown,1,2020,1628
216,d_cide traumerei the animation,series,13,3.5,"الفجور, العنف الجنسي, حوار ملمح, العنف",1,2021,1136
217,dahlia in bloom: crafting a fresh start with magical tools,series,12,4.5,"تعاطي المخدرات/الكحول, العنف",1,2024,13184
218,dakaichi -i'm being harassed by the sexiest man of the year-,series,1,4.6,"التدخين, المحتوى الجنسي, حوار ملمح",1,2018,18616
219,dan da dan,series,12,4.9,"العنف الجنسي, التدخين, حوار ملمح, العنف",1,2024,183931
220,dance dance danseur,series,11,4.7,"الفجور, الانتحار",1,2022,5841
221,danchigai,series,12,4.3,حوار ملمح,1,2015,1278
222,darling in the franxx,series,24,4.7,"الصور الجنسية, حوار ملمح, العنف",1,2018,85673
223,date a live,series,26,4.6,"العري, المحتوى الجنسي, حوار ملمح, الانتحار, العنف",4,2022,25085
224,days,series,24,4.7,"الفجور, حوار ملمح",1,2016,2857
225,days of urashimasakatasen,series,12,4.3,الفجور,1,2019,151
